id,tweets,likes,time,retweets
1464979114058788871,A tribute to Sir Frank Williams.,24131,2021-11-28 15:26:53+00:00,1106
1464953473624117260,Under the lights again next week! 🤩🌌 https://t.co/p88X0lK9gP,5463,2021-11-28 13:45:00+00:00,212
1464915101211930625,Sunday morning drives in November... 😍🍂 https://t.co/XXYO03z66R,7762,2021-11-28 11:12:31+00:00,266
1464913065539997696,"@life_of_niksi @SketchARama @danielricciardo Happy birthday, Nikki! 🥳 Hope you have the best day. 🧡",31,2021-11-28 11:04:26+00:00,1
1464692215213604865,Off road. 👌 Fun in @McLarenXE testing this weekend! https://t.co/VSSjKAre6w,5166,2021-11-27 20:26:51+00:00,137
1464536854712225798,"RT @IAmAutomobilist: All your favourite drivers in their ""McLaren"" best.  @LandoNorris @danielricciardo @ayrtonsenna #JamesHunt 

This Blac…",0,2021-11-27 10:09:30+00:00,17
1464263237118173190,The wholesome content we all needed to see.😍🐶 https://t.co/7OaiwuCOPH,29996,2021-11-26 16:02:15+00:00,2225
1464202505039097859,"Very sneaky, @DanielRicciardo! 👀 He first visited the McLaren Technology Centre in 2015, here's why... @PartyCasino",4240,2021-11-26 12:00:55+00:00,143
1464176137949659152,Riding down the boulevard.😂🎵 @LandoNorris https://t.co/gjrOLXuiH4,16921,2021-11-26 10:16:09+00:00,1015
1463923504160681987,"Take a tour with @DanielRicciardo around some of the incredible @GulfOilIntl livery McLaren cars at Rofgo Park! 👀

Watch the full video now, exclusively on the McLaren App. 👇",3111,2021-11-25 17:32:16+00:00,155
1463920421695377408,Lights. Camera. Action. 🎬 https://t.co/IFpWjh5dib,9582,2021-11-25 17:20:01+00:00,378
1463916065344397321,A man who is sat extremely comfortably in his 720S. 🤣🎶 @danielricciardo https://t.co/SmM4oNPwPT,6721,2021-11-25 17:02:42+00:00,307
1463910967826341891,Ask and you shall receive. 💁 https://t.co/yx96wqQe6d https://t.co/Z87kS9Ocnz,2456,2021-11-25 16:42:27+00:00,76
1463908712519815170,"Nothing quite like a good brew on set. ☕️😅 (And he’s in good company!)

@DanielRicciardo stopped by Rofgo Park with @GulfOilIntl today. 🎬 https://t.co/7aSclm1mxv",3813,2021-11-25 16:33:29+00:00,158
