id,tweets,likes,time,retweets
1465044125712007181,"RT @MercedesEQFE: As they say 𝑛𝑒𝑣𝑒𝑟 𝑐ℎ𝑎𝑛𝑔𝑒 𝑎 𝑤𝑖𝑛𝑛𝑖𝑛𝑔 𝑡𝑒𝑎𝑚 😊

Happy that #WeDriveTheCity in Season 8 together with @nyckdevries, @svandoorne…",0,2021-11-28 19:45:13+00:00,78
1465036722228674562,"𝙎𝙏𝙐𝙉𝙉𝙄𝙉𝙂 💙⭐

The new @mercedeseqfe Silver Arrow 02 is set to drive the city in the @fiaformulae Season 8! #WeDriveTheCity https://t.co/1Jdy3GhJJ3",1362,2021-11-28 19:15:48+00:00,80
1465003207768301572,💬 “The thoughts of myself and the Team are with Sir Frank's family and our friends at @williamsracing” - Toto https://t.co/AO1rtZWsux,6393,2021-11-28 17:02:37+00:00,365
1464992806800347141,"Thank you, Sir Frank 💙 https://t.co/xLGI2M9DfK",23621,2021-11-28 16:21:18+00:00,1433
1464927236629401608,Caption this 💬 https://t.co/3zv91vxVr9,6248,2021-11-28 12:00:44+00:00,219
1464894517732118530,Congrats to the graduating Class of '21! 🥳 @MulberryTH,1298,2021-11-28 09:50:44+00:00,48
1464660917476544517,"Freshen up your look with our Cyber Weekend sale! 🥶

What items are you picking up, Team? 💭",2013,2021-11-27 18:22:29+00:00,73
1464638787418480649,W10 and that @SilverstoneUK #LapOfLights glow 👌😎 https://t.co/HMYtS3wkvu,7331,2021-11-27 16:54:33+00:00,287
1464593126824325122,Still not over that LH helmet 😍🌈 https://t.co/qhu2L4bBY4,12277,2021-11-27 13:53:06+00:00,754
1464547859638931456,"Sleep tight this weekend, W12. A MASSIVE two weeks coming up 💪 https://t.co/MocwsRRfOm",13676,2021-11-27 10:53:14+00:00,721
1464296726660005893,"History lesson: W05 edition! 🤓

What's your favourite memory from the 2014 season? ❤️ https://t.co/OnqXd5pYCv",4805,2021-11-26 18:15:19+00:00,350
1464293920259690501,@miru_lh44 @LewisHamilton Nice cap! Happy birthday Miru!! 🥳,182,2021-11-26 18:04:10+00:00,4
1464279239407112193,"RT @amgmotorsport: @ValtteriBottas vibing with the ""Beast of the Green Hell"" 💚😎

#DrivingPerformance @MercedesAMG  @MercedesAMGF1 

[Merced…",0,2021-11-26 17:05:50+00:00,36
1464263845162143748,@v_laana In it together 🤜🤛,19,2021-11-26 16:04:40+00:00,3
1464263299063762955,@glenndovey Good choice 👊,10,2021-11-26 16:02:29+00:00,1
1464261672600748035,@BarbieLaraib Good choice 😉,5,2021-11-26 15:56:02+00:00,1
1464261547602153472,@victoriawarrenx Twinning 💜💙,11,2021-11-26 15:55:32+00:00,1
1464260872528965635,We got 44 and 77 🎮 Who you got? 👊 https://t.co/bZSxixPO98,3876,2021-11-26 15:52:51+00:00,156
1464243690176716801,@FrejaKH A lot happens behind the scenes here in Brackley but it's all part of getting our car on the track 💪,7,2021-11-26 14:44:34+00:00,1
1464228429860118573,"In this week’s #FactoryFriday, we stopped by the Reliability department to see what they’ve been working on 👀

No race weekend is faultless, so it’s the Reliability team’s job to analyse these issues and work out how we can resolve them! 🛠 https://t.co/mNM3S1f68T",1013,2021-11-26 13:43:56+00:00,74
1464204555294593031,"RT @SilverstoneUK: About last night 👀 

Lap Of Lights was launched by the @MercedesAMGF1 W10 with @antdavidson behind the wheel 😍 

#Silver…",0,2021-11-26 12:09:04+00:00,323
1464189157882970134,@helen0107 @F1 So glad you could be reunited! We hope you all have a lovely weekend together ❤️,5,2021-11-26 11:07:53+00:00,1
1464186912697208837,"A man of many talents! 🎨

Busy day for @LewisHamilton making #RCMemories with @RitzCarlton 👀 https://t.co/zafDQ9PSiH",3312,2021-11-26 10:58:57+00:00,123
1464168420266627074,"@MarcLarenF1 You've got this, Marc! Giving it your best shot is the most you can do 👊",20,2021-11-26 09:45:28+00:00,1
1464165451999727661,"That Friday feeling &gt;&gt;&gt;

What are your weekend plans, Team? 🥳 https://t.co/1f2HZUgNWC",4742,2021-11-26 09:33:41+00:00,168
1463982102630780932,"@DaniMorenoF1 What a comeback, Dani! Nice one 👊",123,2021-11-25 21:25:07+00:00,1
1463981547829215232,"@jarno_opmeer Yes then, Jarno 💪🔥 Mega stuff!!",844,2021-11-25 21:22:55+00:00,6
1463981340035067914,"RT @F1: Opmeer is BACK!

@jarno_opmeer re-takes the championship lead with his third win of 2021 🤘

#F1Esports 🎮 #F1 @Aramco https://t.co/2…",0,2021-11-25 21:22:05+00:00,241
1463959486113189898,"W10 looking 🥶 for the first lap under the lights at @SilverstoneUK 🤩

#LapOfLights https://t.co/p4uNQ83HRy",4214,2021-11-25 19:55:15+00:00,258
1463928577766969347,"The chase for the perfect set-up… how do F1 teams do it? And does it even exist? 👀

Shov and Bono talk through what 'car set-up’ means and how we fine-tune the balance of the car 🛠️",2974,2021-11-25 17:52:26+00:00,258
1463911357481369608,"“Thank you for being there with us and sharing my particular passion for so long. Thanks for all of these wonderful times and good memories.” ❤️

Thank you, Michael 🙏

 https://t.co/RzpEozHiKV",17799,2021-11-25 16:44:00+00:00,1523
1463883685657202693,"‘Life is about passions. Thank you for sharing mine.’ ❤️👑 

#OnThisDay in 2012, Michael Schumacher retired from @F1 as one of the world's greatest sporting legends 🙏 https://t.co/R9pwFBkDRg",22274,2021-11-25 14:54:02+00:00,2065
1463855102683406346,The triple header really said 🔥📸 https://t.co/duKIMBFtNq,5676,2021-11-25 13:00:28+00:00,262
1463848483027308546,"RT @schumacher: Farewell to a very special career: Brasil #OTD back in 2012. Michael drives his last @F1 race.
@MercedesAMGF1 
Abschied von…",0,2021-11-25 12:34:10+00:00,553
