id,tweets,likes,time,retweets
1464999510032142342,"""Very sad to hear the news about Sir Frank Williams. A true gentleman and real racer. Our thoughts are with the Williams family at this sad time and on behalf of Red Bull Racing thank you for everything you gave to F1. RIP"" - Christian Horner https://t.co/j6SF8ghVKy",10635,2021-11-28 16:47:56+00:00,646
1464960016503304196,The Jeddah Corniche is calling 📞🔊 #SaudiArabianGP https://t.co/gIIvgDSS3R,2631,2021-11-28 14:11:00+00:00,166
1464923022733762561,2️⃣0️⃣ down ✅ Two to go 👀 A recap of the last six races 🌎,4541,2021-11-28 11:44:00+00:00,174
1464595867520831489,Part Ⅰ of our trilogy in the Middle East ✅ https://t.co/VQ9IMoo0UB,7329,2021-11-27 14:04:00+00:00,221
1464543522024038403,Stuck for something to do? 🤔 Well... here's 5️⃣ things to fill your #F1 free weekend 📝,1518,2021-11-27 10:36:00+00:00,60
1464293733369724930,A big 𝗗𝗼𝘂𝗯𝗹𝗲 𝗛𝗲𝗮𝗱𝗲𝗿 awaits 👀 Have a great weekend everyone 🤜🤛 https://t.co/9QPgjmOA5i,3821,2021-11-26 18:03:25+00:00,147
1464239519184691202,2021 has had us like... 😬 https://t.co/0viWY8Mv20,10401,2021-11-26 14:28:00+00:00,320
1464220141470818340,Missing #F1? 🤔 Binge-watch the season so far with the Behind The Charge Box Set 🎁📺,2021,2021-11-26 13:11:00+00:00,97
1464202573934743561,@Bwoah33 @vladimirrys It’s been too long 😅,5,2021-11-26 12:01:11+00:00,0
1464202532629139457,@formulafaye @vladimirrys Good afternoon from the factory!,7,2021-11-26 12:01:02+00:00,1
1464202466413711366,@Lea_Atha @vladimirrys And you! 🙌,5,2021-11-26 12:00:46+00:00,0
1464185045208424450,Full send to the Friday finish line 🚀 #ChargeOn 🤘 https://t.co/33ScP3wocG,7449,2021-11-26 10:51:32+00:00,222
1463979667652845568,RT @redbullracingES: We're giving away an incredible sim racing rig thanks to @PlayseatGlobal and @fanatec!,0,2021-11-25 21:15:26+00:00,63
1463918249968611334,"📻 ""You're a triple World Champion, you are the man!"" A 🎩-trick of titles for Seb #OnThisDay in 2012 🏆⏪ https://t.co/nnNhGRRkwI",5641,2021-11-25 17:11:23+00:00,386
1463891121810157577,Get behind the Bulls 💪 Up to 70% off Team merch during #CyberWeek at @RedBullShop 🛍,1011,2021-11-25 15:23:35+00:00,57
1463859515103670273,"Life as a right-front brake disc can be pretty tiring 😅🥱

https://t.co/1XrlNAI0p8",5793,2021-11-25 13:18:00+00:00,280
1463825038319120388,"A trapped spanner in the RB14 🔧 How a lost tool starred in our #ChineseGP win in 2018 🏆

Head to The Paddock for the full story 📖👇",1240,2021-11-25 11:01:00+00:00,57
1463796868828250114,"Bulls on point 🔥 Two more races, Team 👊 https://t.co/fW6L9j2TTn",13423,2021-11-25 09:09:04+00:00,524
1463583196260429825,Portimao 🇵🇹 Zandvoort 🇳🇱 All the best to @redbullracingES in Event Ⅲ of #F1Esports 🎮 https://t.co/0oAUnQPzJe,3869,2021-11-24 19:00:00+00:00,104
1463556411409977345,Either Max is telepathic or Checo's clues need some work 😆,4307,2021-11-24 17:13:34+00:00,222
1463512805697589252,"9️⃣ wins in a row 🏆 Rewriting the record books #OnThisDay in 2013 📖⏪

https://t.co/RBfYabrZZ4",7202,2021-11-24 14:20:18+00:00,521
1463462836181647365,The perfect pit crew doesn't exis- 💪 https://t.co/I8YzDHvj6N,23255,2021-11-24 11:01:44+00:00,1048
1463220554660401156,Dazzling under the Doha lights ✨ Go Through The Lens at the #QatarGP 📸👉 https://t.co/Mz7ceqK7ph https://t.co/Pn5y3YvWA9,2913,2021-11-23 18:59:00+00:00,154
1463199853127905283,Diving into another hot lap around the cryptoverse with @Max33Verstappen and @cashapp 🔥💪 #CashAppSpeedLessons https://t.co/maUPhLkV0D,1843,2021-11-23 17:36:44+00:00,130
1463161739957129226,Bringing an extra bit of 𝕤𝕡𝕚𝕔𝕖 back to the grid 🔥⚽️ https://t.co/Ne7FgMZGtJ,10431,2021-11-23 15:05:17+00:00,332
1463091184436400129,"Saving the best lap 'til last ⏱ Every point matters @Max33Verstappen 🏁

https://t.co/ACIERb8r0G",4407,2021-11-23 10:24:55+00:00,242
1462904220739375116,From one mate to another 🤝 Congrats Shane and @RedBullAmpol on the #RepcoSC title 👑 https://t.co/vOpqWkhhGD,3933,2021-11-22 22:02:00+00:00,167
1462837165793103878,"From attack to defence 👀 You simply can't take your eyes off @SChecoPerez 🍿

https://t.co/2cEoLTKE4j",14412,2021-11-22 17:35:33+00:00,1124
1462816164363517959,Our debut in Doha was an eventful one 🏆 Here are the standout moments 🇶🇦👇,3240,2021-11-22 16:12:06+00:00,105
1462793994266574853,POV: You're @Alex_Albon in the #QatarGP garage 🎥🏠 https://t.co/RTnUZ1Tu3q,4797,2021-11-22 14:44:00+00:00,214
1462781216428597251,The Dutch Lion woke up feeling hungry in 2021 🦁🏆 https://t.co/V2Wro0rwpr,13798,2021-11-22 13:53:13+00:00,852
1462762285038985229,Team spirit 💪 Monday Motivation after a gruelling triple header 💯 https://t.co/WlFUry5Eve,5661,2021-11-22 12:38:00+00:00,212
1462745927450513417,And the Fastest Pit Stop goes to... 😉 2.19 seconds at the #QatarGP 🙌 @Walmart https://t.co/dNtb7dWJ2i,2289,2021-11-22 11:33:00+00:00,138
1462721758490939396,@isaokken @vladimirrys https://t.co/V8LRS7tLGj,15,2021-11-22 09:56:57+00:00,0
1462721662437179396,@camiswise89 @vladimirrys 🔥,9,2021-11-22 09:56:35+00:00,0
1462721624793358338,@Semmieee @vladimirrys The calm before the final two races 👊,67,2021-11-22 09:56:26+00:00,0
1462721527753936896,@natIou @vladimirrys Good morning! https://t.co/r7YbjXMAxW,29,2021-11-22 09:56:02+00:00,0
1462721430311903232,@checciardo @vladimirrys Bring it on! 💪,48,2021-11-22 09:55:39+00:00,0
1462718573068042246,"Triple header 🏁 On the home straight, two races to go 😎 https://t.co/qAwNLsbaRU",5095,2021-11-22 09:44:18+00:00,170
1462708544717959173,Crowning two champions in one weekend 👑👑 Congrats @SebOgier and @RedBullAmpol 👏 #RedBullFamily https://t.co/mW3JiMqI8z,2003,2021-11-22 09:04:27+00:00,90
1462509116950294529,Dissecting a well-earned P2 and P4 in Doha ✍️,4420,2021-11-21 19:52:00+00:00,159
1462491223084740610,"🗣 ""Our straight-line speed was competitive today and the fact that Max was able to get the fastest lap before switching to softs was encouraging."" Christian on the #QatarGP 🇶🇦 https://t.co/xuvuN3LMBu",1416,2021-11-21 18:40:54+00:00,77
1462491184337666052,"🗣 ""We managed to recover from qualifying and moved through the grid quickly, we were in a very good position to be on the podium but unfortunately it didn’t work out."" @SChecoPerez on the #QatarGP 🇶🇦 https://t.co/gXDkERHNLG",1836,2021-11-21 18:40:44+00:00,105
1462491150175162369,"🗣 ""I tried everything I could after the five-place grid penalty so to finish in second and score the fastest lap is really good."" @Max33Verstappen on his #QatarGP podium 🏆🇶🇦 https://t.co/6FLXvSgCVW",3265,2021-11-21 18:40:36+00:00,179
1462467402130731014,"RT @SChecoPerez: ¡¡¡Lo dimos todo!!! 
Al final el VSC nos quitó la oportunidad del podium, ¡pero un 4to lugar fue mejor que nada! 
Buenos p…",0,2021-11-21 17:06:14+00:00,2578
1462467263609647104,"RT @Max33Verstappen: Happy with P2️⃣ and the fastest lap 👊 Despite a really good start, the win was out of reach, but we maximized our race…",0,2021-11-21 17:05:41+00:00,2618
1462465742364979209,So close to the podium 🤏 Nevertheless a great charge to P4 @SChecoPerez 👊 #QatarGP 🇶🇦 https://t.co/edEqNPrQM1,8081,2021-11-21 16:59:38+00:00,367
1462459266674135040,1️⃣6️⃣ trophies in 2️⃣0️⃣ races 🏆 Consistency @Max33Verstappen 💪 https://t.co/v9ryhq8SKs,6607,2021-11-21 16:33:55+00:00,481
