,FriendID,InfluencerHandle
0,2330837658,MercedesAMGF1
1,1429034501351542785,MercedesAMGF1
2,1471282764,MercedesAMGF1
3,1432714131606581251,MercedesAMGF1
4,1217266297098117123,MercedesAMGF1
5,182422520,MercedesAMGF1
6,1283393319134003201,MercedesAMGF1
7,197900972,MercedesAMGF1
8,146062194,MercedesAMGF1
9,1421173063849234445,MercedesAMGF1
0,1095024959674597376,RedBullRacing
1,1445650784,RedBullRacing
2,1050046456588054529,RedBullRacing
3,151540858,RedBullRacing
4,809273,RedBullRacing
5,2754030672,RedBullRacing
6,346672321,RedBullRacing
7,116527344,RedBullRacing
8,563700187,RedBullRacing
9,53351385,RedBullRacing
0,25084916,McLarenF1
1,622519917,McLarenF1
2,16221374,McLarenF1
3,53317673,McLarenF1
4,1400145433033383940,McLarenF1
5,843042942,McLarenF1
6,18463884,McLarenF1
7,1296834445777997824,McLarenF1
8,1110427876468260864,McLarenF1
9,1197994613665083394,McLarenF1
